Country,Year,Internet Users,Population,Internet Users per 100
Sweden,2020,8924510,10099270,88.36
Switzerland,2020,7244784,8654618,83.71
Syria,2020,5757673,17500657,32.9
Taiwan,2020,11727649,23816775,49.26
Tajikistan,2020,1617868,9537642,16.96
Tanzania,2020,5254282,56320000,9.33
Thailand,2020,27637039,69799978,39.59
Timor-Leste,2020,224283,1268000,17.69
Togo,2020,532094,8278737,6.43
Trinidad and Tobago,2020,950577,1399491,68
Tunisia,2020,5374367,11818618,45.46
Turkey,2020,42805821,84339067,50.74
Uganda,2020,2136209,45741000,4.67
Ukraine,2020,21989568,43733759,50.28
United Arab Emirates,2020,8069803,9890400,81.59
United Kingdom,2020,60006613,67886004,88.39
United States of America,2020,242008728,331002647,73.08
Uruguay,2020,2197228,3473727,63.26
Uzbekistan,2020,13246350,33469199,39.59
Venezuela,2020,17707239,28435943,62.28
Vietnam,2020,41486130,97338583,42.61
Yemen,2020,6868328,29825968,23.03
Zambia,2020,1429844,18383956,7.77
Zimbabwe,2020,3219232,14862927,21.65
